id	tweet	predicted_label
32117	Lütfen orospu çocuğu olmayınız karakterini siktiklerim	OFF
19772	#FazlaSözeGerekYok   -adamları büyüttüler sonra terörist ilan ettiler.      -eee yani ne demek istiyorsun? *.ÇOCUĞU FETÖ elebaşı terörist değil mi?      Ben bu gece belayı bulurum bakalım hayırlısı..	OFF
45591	"ya bu insanlar harbiden hardcore geri zekalı. klinik psikolog olacak bir densiz cluster b üzerine yazdığım şeyi görüp ""ilgin var mı?"" diyor."	NOT
19221	@USER @USER @USER @USER @USER @USER @USER @USER Eleştiriye tahammül edemeyen insanlarla tartışmam. Siz böyle dediniz emriniz başüstüne deyip beynime mi hükmedeceksiniz? Fikirlerim mi değişecek? Kaldı ki gidin de bir seçmenle konuşun bir zahmet! Nasıl oy kaybettiğimizi görürsünüz.	NOT
42464	@USER @USER Fransa’da veya Avrupa’nın diğer bir ülkesinde, bir meclis başkanının çıkıp, “kadının sesli gülmesi, ahlaksızlıktır” diyebildiğini duydunuz mu? Veya Diyanet İşleri’nin kadını dövebilirsiniz, erkek kız çocuğuna karşı şevhet duyabilir dediğine şahit oldunuz mu?	NOT
16596	#HayvanaSiddetSuctur tecavüzcü müebbet, işkenceci caydırıcı sürede hapis cezası almalı. Bu dünyanın sahibi ne sensin ne benim. Herkes haddini bilsin artık.	NOT
23913	yarım saattir izliyorum bu adam ne yaptıda sarı gördü diye.öncesinde uyarı falanda almadı ananızı sikeyim sizin ben ya orospu çocukları	OFF
33358	@USER @USER O gün söylenen senin iddian gibi olsaydı biz ortalığı ayağa kaldırırdık   Bir defa derken kurum kapatmak ısrarı üzerine 'kurumda bir defa görülmüş' anlamında söylenmiş bir söz idi   Milli Eğitimde çalışan malesef sözde öğretmenlerin yaptığı ahlaksızlık içinde okullar mı kapansın	NOT
21940	@USER Mutsuzlugunun farkında olmayankendini mutlu sanan insanları gördükce ürperiyorum,Fernando Pessoa	NOT
30888	"Yüce rabbim, kullarına ""sağdan gidiniz"" skilli mi ekleseydin acaba ya. Benimki sadece fikir, yine sen bilirsin tabi."	NOT
17646	Çok bir şey istemiyorum şu hayatta; bir sevgili mesela, çalışabilir durumda bir beyini olsun  Kendini vazgeçilmez görmesin yeter.	NOT
17610	@USER Kimse kusura bakmasın benim orospusu çocukluğu yapacak insanlara saygı gösterecek ahlakım yok bunlara saygı gösteren yarın küçük çocuklara musallat olanlarada saygı gösterir 😠	NOT
